AddNum,StPreDir,StName,StSuffix,Zip4,Name,geometry,longitude,latitude,jointadd
4755,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333656845 43.56027460200005),-116.33365684499995,43.56027460200005,4755 S WILDBROOK AVE
4652,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.3326268009999 43.56025919700005),-116.33262680099995,43.56025919700005,4652 S WHITMORE WAY
4660,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.332393003 43.56016884100006),-116.33239300299999,43.56016884100006,4660 S WHITMORE WAY
4758,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333313701 43.56010380100003),-116.33331370099995,43.560103801000025,4758 S WILDBROOK AVE
4759,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333660911 43.56006600200004),-116.33366091099998,43.56006600200004,4759 S WILDBROOK AVE
4672,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.3321629119999 43.56007024000007),-116.33216291199994,43.56007024000007,4672 S WHITMORE WAY
4684,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.331880132 43.55998561500007),-116.33188013199998,43.55998561500007,4684 S WHITMORE WAY
4760,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.3333085359999 43.55996067400008),-116.33330853599995,43.55996067400008,4760 S WILDBROOK AVE
4761,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.3336442729999 43.55990612500005),-116.33364427299995,43.559906125000055,4761 S WILDBROOK AVE
4649,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.332719809 43.56004383900006),-116.33271980899997,43.56004383900006,4649 S WHITMORE WAY
4716,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.331696155 43.55987836300005),-116.33169615499997,43.55987836300005,4716 S WHITMORE WAY
4661,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.3325021269999 43.55996162500003),-116.33250212699994,43.55996162500003,4661 S WHITMORE WAY
4762,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333321895 43.55978093600004),-116.33332189499998,43.55978093600004,4762 S WILDBROOK AVE
4728,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.33148003 43.55976169000007),-116.33148002999997,43.55976169000007,4728 S WHITMORE WAY
4777,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333657714 43.55973479200003),-116.33365771399997,43.55973479200003,4777 S WILDBROOK AVE
4673,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.332302209 43.55986287100006),-116.33230220899998,43.559862871000064,4673 S WHITMORE WAY
4730,S,WHITMORE,WAY,83709,LaGrande,POINT (-116.331242407 43.55966534000004),-116.33124240699999,43.55966534000004,4730 S WHITMORE WAY
